,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,day0_rep1,-737166.4705045907,-610808.2030229416,-488599.6457749516,43482.639689928175,-3686.273616389414,-73671.402879717,-641167.4902403214,-639134.5230503872,-624943.5834810834,315658.09934517543,251760.22346232814,-99062.63100855779,1266483.3792672113,-93589.02567995418,371491.2123428641,609080.396878857,676057.231800252,299676.0511001562,133002.10681295054,45137.908559170515,0.7229910666292592
1,day0_rep2,-18654.586943029582,16615.789612218832,52940.05465466996,-227207.6127749348,-224777.22518188553,-224216.606866604,15269.55142730101,6240.986686554665,18917.775357864008,252023.17336566624,233066.711392644,145424.44310678562,367232.0609727645,37080.61314829312,-418859.99253709806,-377237.64002077933,-433566.68703183584,297353.04066111223,256715.18867053668,225640.96229975703,0.15784466329358274
2,day0_rep3,-164214.49121265596,-199713.2639007625,-316005.8646817551,47294.736354908026,49945.7944879095,74303.80936783775,139178.34056549956,143593.59443692805,140259.2105993889,233259.38817061417,229425.63199327388,222487.91418123245,-61622.323058360096,54060.991163619205,-42069.46212106219,127.76813427905716,-77411.3486367988,-192111.87965289326,-151240.829987126,-129547.71620407666,0.06688876934662438
3,day1_rep1,-33261.51093583179,-89598.67215542663,-53233.762939240776,-114576.89720998099,-97746.56992361251,-106981.15807321214,68522.81895934363,65834.08922953092,84468.52895508701,-21081.867912863265,-26762.208139598704,-29126.52051341479,-126142.20743158471,-36583.32952946082,-53006.18474676578,310364.1955617403,-27926.416805617,96504.1811501521,104096.38216743812,86237.11029331808,0.028873546138850986
4,day1_rep2,54946.952587183514,120567.55263110733,70854.09945833622,-47120.453274732594,-55659.565494134935,-40119.921617546075,-18384.681610552423,-28454.00277960257,-31131.88090323264,43741.76208853024,43105.815166188884,44029.663653766285,67121.52803209747,-1728.7217042442694,-40227.92923406316,134955.27747687988,-41915.394108746,-100045.26847878014,-94454.45930116401,-80080.3725872912,0.012262572150576996
5,day1_rep3,7870.620231129373,494.30603457797946,-8570.249992700581,-68853.58221426047,-75027.18566014266,-64246.73097412997,38217.74770063019,22349.371355094092,27285.801220526333,-9069.463067888511,-5549.016479352794,14740.460674961247,21012.86313010642,34517.99730176513,81876.94178389032,-47912.48162362199,66618.12038611718,-20578.575881527333,-15257.050809823484,80.10688464993423,0.004613075563520661
6,day2_rep1,786.7446226786359,-19679.296362843703,-20065.245124766258,8901.1379779613,13069.65198986667,15065.024632989487,33612.25987658865,21656.90534093418,32754.22907752088,-59447.43583375823,-57858.07394751637,-32117.882862387705,82560.89467075354,67252.50872673135,-27764.598227085007,17095.853743943502,-34746.463881356074,-25584.723276800447,-11045.519298163132,-4445.971845291301,0.0036272514133684247
7,day2_rep2,31877.10740187943,-69062.5965582593,50778.08297984361,-17000.89032317676,17972.24281783935,-8657.63325832294,-18041.22668166119,-5024.330415193778,9837.845271779233,18166.69139820636,7625.672498884162,-7073.125708834008,-5771.086168961342,22982.73023661199,-13230.391612333256,-836.5844035492001,12695.066655409479,-14284.474324515335,5397.406566033236,-18350.506371679465,0.0015754926618311313
8,day2_rep3,-4936.602234640994,2339.920761072603,6063.36604371418,-7803.916256435413,5355.134746299633,5639.185962222315,10993.995571906396,7039.336735981973,20413.34352489402,6803.917336119997,-1386.2191801285508,-17124.819368117336,14297.017541256419,-35786.03968605792,-9242.844897453107,-4338.155806792037,13165.600135083754,-6424.196643097344,2394.461299306702,-7462.4855851355715,0.0004119132674892882
9,day4_rep1,-4743.893818860306,-9460.498183131263,13498.053101485395,24727.89593566572,-10797.041164138414,-12631.479203259227,16165.855058317371,2530.6479792180485,-4005.408827431082,5722.177072550391,661.8980620075386,-9932.380411800823,1778.217883169825,-4538.095852843186,7111.03981666799,527.5927666261659,-8123.741599525858,14069.717053586251,-17633.219703984218,-4927.33596432061,0.00031373518005236434
10,day4_rep2,-6044.222332514941,7193.1842539229,-1496.587319612849,-9036.252075175073,8976.654714927396,-2212.7631550464366,-3166.2816371274193,6114.08162393784,276.0292386508437,4189.969297276626,1225.4694423273081,-8687.304056675015,-2794.335628907404,9162.979147659127,-2348.922636269848,-467.09664048145873,2737.8555224585275,13693.911069443635,-6728.633702530024,-10587.735126263691,0.00011735509956516868
11,day4_rep3,-3917.408876890077,5034.084079066713,-1176.3377357511054,8605.218393627236,1943.3364586359999,-11910.56821974435,-1197.9047787930544,-542.6890291903728,2536.0201195316513,999.4996988248964,3589.94308471183,-6006.300295964262,-1190.9644858192985,3664.3127922446083,2686.1730698067404,-256.5208567964876,-2119.7969338357657,-7662.983030760063,16504.47949743146,-9581.592950336246,0.00010628705324079287
