,Names,R2 1st Wave,RMSE 1st Wave,MAE 1st Wave,R2 2nd Wave,RMSE 2nd Wave,MAE 2nd Wave,R2 3rd+4th Wave,RMSE 3rd+4th Wave,MAE 3rd+4th Wave,R2 All Data,RMSE All Data,MAE All Data
0,"MA(0,0,1)",0.6370784951843826,33778.417303894574,3409.1014290710737,0.5472849397930096,180981.86730663225,15679.460967964415,0.5939181927657695,47676.97905253261,5156.69414485542,0.6530700175833896,493805.25273270445,8964.629598139341
1,"MA(0,0,2)",0.748478393088271,28120.341771063693,2575.1844592513808,0.6958785898067981,148335.83871549284,11982.350960459476,0.73605868395461,38437.5459048951,3878.9027645367755,0.7958295660377227,378818.5297688482,6543.821899807994
2,"MA(0,0,3)",0.7499505941676028,28037.924290906638,2544.9163553664716,0.7455371613986519,135685.91806940295,11531.288981472042,0.7699458870116439,35885.33162017376,3684.3538723773286,0.8095706266096022,365848.903264944,6116.270443136581
3,"MA(0,0,4)",0.8181752440505303,23908.892091584337,2134.004970306,0.7957932560123973,121550.7475273206,9737.114055700697,0.7603615146136949,36625.2203201793,3507.6547768943824,0.8740025921748312,297588.1225218129,4721.872870807407
4,"I(0,1,0)",0.7907379605220666,25649.456797367075,1775.2027972027972,0.75111473540563,134190.6282197084,8457.16,0.8070389540940415,32865.23826172572,2397.8524590163934,0.8635326367936299,309705.69285371556,3758.6746647847567
5,"I(0,2,0)",0.5575613252333482,37295.762162568186,2762.5423485753454,0.41827201295927474,205155.22055069444,12710.414317143144,0.597569845783622,47462.12955039362,3725.922768974474,0.7539573218817598,415853.16487596877,5431.267323089442
6,"AR(1,0,0)",0.794653796875569,25408.339504995125,1844.1426237754258,0.7614947941130847,131362.53633204193,8852.094297616832,0.8038211872342929,33138.13126009523,2483.4262308562356,0.8680039203728718,304589.76409933466,3824.0027212039367
7,"ARMA(1,0,1)",0.7947116700499914,25404.758808439696,1850.0641154907962,0.765298565031936,130310.81655166512,9045.733199088527,0.803831638778898,33137.248521370384,2482.3747395803166,0.8725208129487122,299332.8846077357,3868.263016211296
8,"ARMA(1,0,2)",0.8313769866467468,23024.56152163123,1837.0438067256973,0.7847914102044561,124782.12997313733,9159.00445852376,0.8328984259955783,30583.8555101182,2596.6372422755526,0.882923946313338,286859.2283527714,3920.76863897979
9,"ARMA(1,0,3)",0.8441755262032469,22133.53490174364,1853.6963229857058,0.6965133681333654,148180.95063825056,12013.684244395125,0.8331546184436045,30560.40163673324,2555.1853215904152,0.8868155049359921,282051.398302434,3840.6365535638847
10,"ARMA(1,0,4)",0.8465403376073045,21964.942184654312,1824.5213888520198,0.8306891684131659,110678.9333678879,7996.026062887805,0.8785684753449793,26071.600145937056,2443.9710261669666,0.8903940378257894,277556.80377768946,3914.306071448556
11,"ARIMA(1,1,1)",0.8228880460276085,23597.004885572584,1833.0044878579542,0.7891555070354197,123510.45590850498,8834.187306242049,0.833316647640029,30545.55891216137,2481.9064651955505,0.87119106905246,300890.0151434578,3735.0595989362373
