,Names,R2 1st Wave,RMSE 1st Wave,MAE 1st Wave,R2 2nd Wave,RMSE 2nd Wave,MAE 2nd Wave,R2 3rd+4th Wave,RMSE 3rd+4th Wave,MAE 3rd+4th Wave,R2 All Data,RMSE All Data,MAE All Data
0,"MA(0,0,1)",0.6567847043129295,84010.65789070327,22491.243246972317,0.6083299457151874,398998.0090887877,103881.51619550755,0.64004152342166,115146.65431280149,34366.064102434975,0.6611424362587617,1214215.5714028962,62279.53524583618
1,"MA(0,0,2)",0.8025166002179652,63725.95699629899,15637.070056688766,0.767884747184794,307158.39139238425,78171.83661053659,0.7925912498953356,87405.47922332653,24019.452472673143,0.8193230183269964,886622.236905113,41821.8510367084
2,"MA(0,0,3)",0.8456556845187592,56337.34653396409,12603.166866293464,0.7978700592906408,286632.7885974588,68359.60475921172,0.8369436884886502,77498.6126648844,20103.7703870348,0.8722823642240002,745439.9110950177,32845.645124772054
3,"MA(0,0,4)",0.8653662645702411,52617.23425221898,11173.410446536154,0.8155964114158141,273775.90847150114,63784.097066872135,0.8759513760007386,67596.01548045148,15392.884791067734,0.8849315197990938,707563.4560558755,28607.870862358825
4,"I(0,1,0)",0.906229839712279,43912.0181954781,9828.47619047619,0.8395209446607201,255399.31267722708,62041.71428571428,0.9116090159118537,57059.65029686039,15952.941176470587,0.8057744708681334,919264.2327285447,29784.620689655174
5,"I(0,2,0)",0.9354676837950275,36428.36631763829,7879.411859173685,0.8460200606503914,250174.25587450285,55847.86942656351,0.9796681420880634,27366.146913534998,7494.03348341798,0.827321643053152,866774.5672583441,22048.128033574954
6,"AR(1,0,0)",0.8555271202204027,54505.99014708276,10614.339112120468,0.7975057518983382,286890.97754882416,70484.7629271316,0.8348386134289297,77997.26624870156,19025.982681774116,0.8137728738598788,900137.1305412812,31687.483108449833
7,"ARMA(1,0,1)",0.8905274283485621,47446.45056397137,8521.4567400125,0.8369862238156236,257408.39015658596,57243.64462249002,0.8908311098008938,63412.455240655254,12827.233180284144,0.8749654605818085,737568.2362789882,25477.809323731282
8,"ARMA(1,0,2)",0.8919555185515676,47135.960722821794,8415.307608529316,0.8447676483458575,251189.6049759618,51443.576876770574,0.8984186897223575,61169.0909414774,11260.113708590425,0.8907075223928287,689576.3235708306,24361.31003171389
9,"ARMA(1,0,3)",0.9102676198246777,42956.18087424654,7528.465835080795,0.8452262167558047,250818.31377701965,51102.03328703378,0.9056239105223295,58959.814734278574,9555.100155314263,0.8930388489410285,682181.9749022608,23780.09273130406
10,"ARMA(1,0,4)",0.9129375237843482,42312.29443424089,7144.586298952015,0.8648827150549747,234350.56209411408,51983.01761888677,0.9102037939753894,57511.423201938196,8007.428039549528,0.8930481086611222,682152.4457190157,23755.76713779686
11,"ARIMA(1,1,1)",0.9453995160340128,33508.06233152078,7383.939035933766,0.8830729514053512,218005.79512817133,43061.45288219858,0.9870354730128162,21852.617252241664,5726.615818360525,0.8738296217016971,740910.7714070992,20243.24394346475
12,"ARIMA(1,1,2)",0.9454851830724503,33481.76528163685,7239.565070165247,0.8851003170947975,216107.55987412462,42492.89548280461,0.9881093595169776,20928.000897106085,6083.747232958903,0.8784737676236102,727147.0105055796,20007.659495742693
13,"ARIMA(1,1,3)",0.9595373701741601,28845.503332265507,6386.863849851536,0.8844823716606611,216687.90790151648,45133.433111519,0.9901164324737382,19080.15893571368,5255.905249922338,0.89093404829318,688861.3250374054,23368.057219946146
14,"ARIMA(1,1,4)",0.9625155577063721,27763.65220514692,6017.97357856709,0.9137971827945386,187185.09932198876,39482.725809983196,0.9902189359996554,18980.959889541096,5052.919627671344,0.89325196333926,681502.0304143251,22912.949047216724
15,"ARIMA(1,2,1)",0.9354915929968907,36421.617343606165,7878.154662207135,0.8734880352964624,226765.16730235273,45518.44891918743,0.9835015747819607,24651.671249057054,6250.987031981797,0.827906986994907,865304.2268418686,21759.303487225432
16,"ARIMA(1,2,2)",0.9391642465946635,35369.62977623268,7390.534548371647,0.873274667263559,226956.3114931509,48348.32046827431,0.984721704538297,23722.61569362974,5939.4823266301355,0.8724609225122197,744918.6399776686,20374.440222985188
17,"ARIMA(1,2,3)",0.9453317705972922,33528.84341675883,7343.907102010348,0.8624597774477631,236442.425556829,49757.49465488657,0.9858972406003933,22791.723598606488,6021.116880480293,0.8771606953527291,731064.8119966299,20210.78928157091
18,"ARIMA(1,2,4)",0.9530470975955018,31072.935980361206,7184.041911756358,0.81022043316687,277737.9784311471,69916.2409906987,0.9853975074077308,23192.02221867037,5969.515175276794,0.8778337138551109,729059.3629859551,20121.99205649501
19,"AR(2,0,0)",0.8991305055494591,45543.981105711784,8563.280021399409,0.8507890597265191,246269.64147966358,47223.774804838504,0.9081162919743248,58176.06971886519,9672.138275234885,0.8882681028075244,697229.5619765958,25059.63351749907
20,"ARMA(2,0,1)",0.9000656624626023,45332.371324247586,8809.642158198354,0.8790456469798911,221728.38612886178,46146.03537921835,0.910033327705345,57565.9862500746,8205.828117213507,0.89080601707891,689265.5294785021,24450.550057818757
21,"ARMA(2,0,2)",0.9037319999680699,44493.036229875106,8975.311643697165,0.8466260942788788,249681.45308657418,50538.448959551286,0.9112070759637195,57189.23670027146,7889.35035358283,0.8929980769040166,682311.9814438461,23810.22850241658
